Column Name,kPB,aCH2,aT/O,aC/P,aB/P pH 7.6,aB/P pH 2.7,Type,Particle Size,TPP/SPP,Pore Size [A]
FluoroSep RP Propyl,0.16,1.15,1,1.15,1.47,0.39,23,5,1,300
Fortis C18 1.7 µm,6.72,1.49,1.26,0.48,0.26,0.07,10,1.7,1,110
Fortis C18 5 µm,7.04,1.48,1.27,0.5,0.33,0.08,10,5,1,110
Fortis cyano C18 2.1 µm,0.21,1,1,0.67,2.09,0.2,19,2.1,1,110
Fortis cyano C18 5 µm,0.17,1,1,0.69,1.86,0.19,19,5,1,110
Fortis Diphenyl,1.54,1.31,0.93,0.81,0.56,0.07,22,1.7,1,100
Fortis H2O,7.42,1.5,1.64,0.41,1.56,0.1,6,5,1,110
Gemini C18,4.87,1.46,1.21,0.44,0.29,0.08,10,5,1,110
Gemini NX C18,4.87,1.46,1.11,0.34,0.3,0.09,10,5,1,110
Gemini phenyl hexyl,2.79,1.36,1.04,0.6,0.3,0.05,30,5,1,110
Genesis AQ,6.07,1.49,1.26,0.53,0.42,0.11,6,5,1,120
Genesis C18,6.25,1.5,1.41,0.44,0.29,0.1,10,5,1,120
Genesis C8,2.09,1.33,1.01,0.55,0.6,0.12,16,5,1,120
Genesis CN,0.22,1.16,1.9,0.6,1,0.18,19,5,1,120
GraceSmart RP 18,2.37,1.44,1.32,0.8,1.65,0.1,10,5,1,120
Grom-Sil 100 ODS-2FE,4.68,1.46,1.72,0.59,0.72,0.17,10,5,1,100
Grom-Sil ODS-0 AB,3.46,1.45,1.4,0.72,0.67,0.19,10,5,1,100
Grom-Sil ODS-4 HE,6.28,1.5,1.27,0.54,0.31,0.1,10,5,1,120
Grom-Sil ODS-7 pH,13.68,1.54,1.53,0.39,0.32,0.06,10,4,1,80
HALO C18,6.01,1.51,1.38,0.42,0.3,0.1,10,2.7,0,90
HALO C18 Peptide (Ascentis Peptide),2.65,1.45,1.22,0.72,0.57,0.13,10,2.7,0,160
Halo C8,2.68,1.4,0.93,0.29,0.31,0.08,10,2.7,0,90
Halo PFP,1.45,1.24,2.43,1.09,1.95,0.36,28,2.7,0,90
Halo RP amide,3.42,1.42,1.75,0.25,0.65,0.06,25,2.7,0,90
Helix STS,0.37,1.43,2.52,1,4.13,0.15,10,5,1,0
Hichrom C8 3.5um,2.22,1.35,1.01,0.38,0.49,0.12,16,3.5,1,150
Hichrom RPB,4.56,1.4,1.21,0.36,0.18,0.11,17,5,1,110
